condition,chain,generation,epoch,generation_in_epoch,type,informative,cost,error,success
dif_com,2,8,0,0,H,1,0.2222222222222222,1.7777777777777777,0.16666666666666666
dif_com,2,9,0,0,D,0,0.7505430557959409,2.0,0.2777777777777778
dif_com,3,0,0,0,H,1,0.0,,
dif_com,3,1,0,0,H,1,0.4444444444444444,1.1111111111111112,0.3333333333333333
dif_com,3,2,0,0,D,0,0.6666666666666666,0.8888888888888888,0.5
dif_com,3,3,0,0,D,0,0.6666666666666666,0.2222222222222222,0.3333333333333333
dif_com,3,4,0,0,D,0,1.2788638893696596,0.2222222222222222,0.3333333333333333
dif_com,3,5,0,0,D,0,1.584962500721156,0.1111111111111111,0.5555555555555556
dif_com,3,6,0,0,D,0,1.584962500721156,0.0,0.16666666666666666
dif_com,3,7,0,0,D,0,1.584962500721156,0.0,0.2222222222222222
dif_com,3,8,0,0,D,0,1.584962500721156,0.0,0.2222222222222222
dif_com,3,9,0,0,D,0,1.584962500721156,0.0,0.3888888888888889
dif_com,4,0,0,0,H,1,0.0,,
dif_com,4,1,0,0,H,1,0.5283208335737187,1.3333333333333333,0.2777777777777778
dif_com,4,2,0,0,H,1,0.2222222222222222,0.5555555555555556,0.5
dif_com,4,3,0,0,R,0,1.0566416671474375,0.4444444444444444,0.16666666666666666
dif_com,4,4,0,0,H,1,0.6666666666666666,0.5555555555555556,0.4444444444444444
dif_com,4,5,0,0,D,0,0.4444444444444444,0.7777777777777778,0.2222222222222222
dif_com,4,6,0,0,H,1,0.6666666666666666,0.8888888888888888,0.16666666666666666
dif_com,4,7,0,0,D,0,0.9727652780181633,1.5555555555555556,0.2777777777777778
dif_com,4,8,0,0,D,0,0.7505430557959409,0.8888888888888888,0.2777777777777778
dif_com,4,9,0,0,D,0,0.972765278018163,0.3333333333333333,0.3333333333333333
dif_com,5,0,0,0,H,1,0.0,,
dif_com,5,1,0,0,D,0,0.6666666666666666,1.3333333333333333,0.5
dif_com,5,2,0,0,H,1,0.2222222222222222,0.7777777777777778,0.5555555555555556
dif_com,5,3,0,0,H,1,0.6666666666666666,0.8888888888888888,0.3888888888888889
dif_com,5,4,0,0,H,1,0.6666666666666666,0.3333333333333333,0.5
dif_com,5,5,0,0,E,1,0.4444444444444444,0.8888888888888888,0.3333333333333333
dif_com,5,6,0,0,D,0,0.6666666666666666,0.3333333333333333,0.4444444444444444
dif_com,5,7,0,0,H,1,0.6666666666666666,0.4444444444444444,0.6666666666666666
dif_com,5,8,0,0,D,0,0.7505430557959408,0.3333333333333333,0.3333333333333333
dif_com,5,9,0,0,R,0,0.972765278018163,0.3333333333333333,0.4444444444444444
dif_com,6,0,0,0,H,1,0.0,,
dif_com,6,1,0,0,R,0,1.2788638893696598,1.1111111111111112,0.2777777777777778
dif_com,6,2,0,0,R,0,1.2788638893696598,0.1111111111111111,0.2222222222222222
dif_com,6,3,0,0,R,0,1.2788638893696598,0.6666666666666666,0.1111111111111111
dif_com,6,4,0,0,R,0,1.584962500721156,0.1111111111111111,0.2777777777777778
dif_com,6,5,0,0,R,0,1.584962500721156,0.0,0.2222222222222222
dif_com,6,6,0,0,R,0,1.584962500721156,0.0,0.3333333333333333
dif_com,6,7,0,0,H,1,0.0,0.8888888888888888,0.8888888888888888
dif_com,6,8,0,0,H,1,0.0,0.3333333333333333,0.3333333333333333
dif_com,6,9,0,0,H,1,0.4444444444444444,0.5555555555555556,0.2222222222222222
dif_com,7,0,0,0,H,1,0.0,,
dif_com,7,1,0,0,H,1,0.0,1.5555555555555556,0.3888888888888889
dif_com,7,2,0,0,D,0,0.6666666666666666,1.1111111111111112,0.4444444444444444
dif_com,7,3,0,0,D,0,0.6666666666666666,0.4444444444444444,0.3333333333333333
dif_com,7,4,0,0,D,0,0.6666666666666666,0.0,0.3888888888888889
dif_com,7,5,0,0,D,0,0.972765278018163,0.5555555555555556,0.6111111111111112
dif_com,7,6,0,0,D,0,1.584962500721156,0.2222222222222222,0.1111111111111111
dif_com,7,7,0,0,D,0,1.584962500721156,0.0,0.3333333333333333
dif_com,7,8,0,0,D,0,1.584962500721156,0.0,0.3888888888888889
dif_com,7,9,0,0,D,0,1.584962500721156,0.0,0.2222222222222222
dif_com,8,0,0,0,H,1,0.0,,
dif_com,8,1,0,0,H,1,0.2222222222222222,0.6666666666666666,0.4444444444444444
dif_com,8,2,0,0,E,1,0.4444444444444444,0.6666666666666666,0.7777777777777778
dif_com,8,3,0,0,E,1,0.6666666666666666,0.3333333333333333,0.2777777777777778
dif_com,8,4,0,0,E,1,0.2222222222222222,0.2222222222222222,0.5
dif_com,8,5,0,0,D,0,0.972765278018163,0.8888888888888888,0.3888888888888889
dif_com,8,6,0,0,D,0,1.2788638893696596,0.4444444444444444,0.5
dif_com,8,7,0,0,D,0,1.584962500721156,0.2222222222222222,0.3888888888888889
dif_com,8,8,0,0,D,0,1.584962500721156,0.0,0.3333333333333333
dif_com,8,9,0,0,D,0,1.2788638893696598,0.1111111111111111,0.3333333333333333
dif_com,9,0,0,0,H,1,0.0,,
dif_com,9,1,0,0,D,0,0.2222222222222222,1.5555555555555556,0.2777777777777778
dif_com,9,2,0,0,D,0,0.6666666666666666,1.0,0.2222222222222222
dif_com,9,3,0,0,D,0,0.9727652780181633,0.4444444444444444,0.4444444444444444
dif_com,9,4,0,0,D,0,1.2788638893696598,0.5555555555555556,0.2777777777777778
dif_com,9,5,0,0,D,0,0.4444444444444444,1.1111111111111112,0.5555555555555556
dif_com,9,6,0,0,D,0,0.972765278018163,1.2222222222222223,0.1111111111111111
dif_com,9,7,0,0,D,0,1.2788638893696596,0.2222222222222222,0.5555555555555556
dif_com,9,8,0,0,D,0,1.2788638893696596,0.0,0.16666666666666666
dif_com,9,9,0,0,R,0,1.584962500721156,0.2222222222222222,0.2777777777777778
con_lrn,0,0,0,0,E,1,0.0,,
